timestamp,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,lag_1,lag_2,lag_3,lag_24,rolling_3,rolling_24,state,next_hour_demand
2011-01-02 00:00:00,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,39.0,28.0,34.0,16.0,33.666666666666664,41.041666666666664,0.0,92.67396922957974
2011-01-02 01:00:00,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17.0,39.0,28.0,40.0,28.0,41.083333333333336,0.0,224.12562233096335
2011-01-02 02:00:00,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,17.0,17.0,39.0,32.0,24.333333333333332,40.125,0.0,0.0
2011-01-02 03:00:00,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,9.0,17.0,17.0,13.0,14.333333333333334,39.166666666666664,0.0,161.95658869705733
2011-01-02 04:00:00,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,6.0,9.0,17.0,1.0,10.666666666666666,38.875,0.0,0.0
2011-01-02 06:00:00,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,3.0,6.0,9.0,1.0,6.0,38.958333333333336,0.0,21.63025177738435
2011-01-02 07:00:00,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,2.0,3.0,6.0,2.0,3.6666666666666665,39.0,0.0,0.0
2011-01-02 08:00:00,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,1.0,2.0,3.0,3.0,2.0,38.958333333333336,0.0,179.33993259410624
2011-01-02 09:00:00,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,8.0,1.0,2.0,8.0,3.6666666666666665,39.166666666666664,0.0,151.32138027600928
2011-01-02 10:00:00,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,20.0,8.0,1.0,14.0,9.666666666666666,39.666666666666664,1.0,204.1393450842357
2011-01-02 11:00:00,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,53.0,20.0,8.0,36.0,27.0,41.291666666666664,1.0,0.0
2011-01-02 12:00:00,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,70.0,53.0,20.0,56.0,47.666666666666664,42.708333333333336,2.0,155.71056349975913
2011-01-02 13:00:00,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,93.0,70.0,53.0,84.0,72.0,44.25,1.0,0.0
2011-01-02 14:00:00,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,75.0,93.0,70.0,94.0,79.33333333333333,43.875,1.0,20.073252221841827
2011-01-02 15:00:00,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,59.0,75.0,93.0,106.0,75.66666666666667,42.416666666666664,1.0,135.72185082250255
2011-01-02 16:00:00,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,74.0,59.0,75.0,110.0,69.33333333333333,41.083333333333336,1.0,168.36702689505884
2011-01-02 17:00:00,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,76.0,74.0,59.0,93.0,69.66666666666667,39.666666666666664,1.0,77.10159908537253
2011-01-02 18:00:00,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,65.0,76.0,74.0,67.0,71.66666666666667,38.5,1.0,0.0
2011-01-02 19:00:00,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,53.0,65.0,76.0,35.0,64.66666666666667,37.916666666666664,1.0,0.0
2011-01-02 20:00:00,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,30.0,53.0,65.0,37.0,49.333333333333336,37.708333333333336,0.0,201.28819698475814
2011-01-02 21:00:00,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,22.0,30.0,53.0,36.0,35.0,37.083333333333336,1.0,79.02754688422934
2011-01-02 22:00:00,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,31.0,22.0,30.0,34.0,27.666666666666668,36.875,0.0,92.85752810670101
2011-01-02 23:00:00,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,9.0,31.0,22.0,28.0,20.666666666666668,35.833333333333336,0.0,262.4381194099127
2011-01-03 00:00:00,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,8.0,9.0,31.0,39.0,16.0,35.0,0.0,0.0
2011-01-03 01:00:00,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,5.0,8.0,9.0,17.0,7.333333333333333,33.583333333333336,0.0,302.7657799194628
2011-01-03 04:00:00,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,2.0,5.0,8.0,17.0,5.0,32.958333333333336,0.0,374.4990928799287
2011-01-03 05:00:00,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,1.0,2.0,5.0,9.0,2.6666666666666665,32.291666666666664,0.0,220.81451460984337
2011-01-03 06:00:00,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,3.0,1.0,2.0,6.0,2.0,32.041666666666664,1.0,161.51770383817586
2011-01-03 07:00:00,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,30.0,3.0,1.0,3.0,11.333333333333334,33.041666666666664,1.0,75.73391174103013
2011-01-03 08:00:00,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,64.0,30.0,3.0,2.0,32.333333333333336,35.583333333333336,2.0,205.25207240564146
2011-01-03 09:00:00,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,154.0,64.0,30.0,1.0,82.66666666666667,41.916666666666664,1.0,0.0
2011-01-03 10:00:00,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,88.0,154.0,64.0,8.0,102.0,45.541666666666664,1.0,48.44732362030419
2011-01-03 11:00:00,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,44.0,88.0,154.0,20.0,95.33333333333333,47.041666666666664,1.0,26.75728095845512
2011-01-03 12:00:00,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,51.0,44.0,88.0,53.0,61.0,48.333333333333336,1.0,94.4641845778313
2011-01-03 13:00:00,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61.0,51.0,44.0,70.0,52.0,48.666666666666664,1.0,228.86723400548132
2011-01-03 14:00:00,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,61.0,61.0,51.0,93.0,57.666666666666664,48.291666666666664,1.0,6.495401081695206
2011-01-03 15:00:00,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,77.0,61.0,61.0,75.0,66.33333333333333,47.625,1.0,0.0
2011-01-03 16:00:00,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,72.0,77.0,61.0,59.0,70.0,47.5,1.0,38.749186779900825
2011-01-03 17:00:00,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,76.0,72.0,77.0,74.0,75.0,48.208333333333336,2.0,42.83794465834602
2011-01-03 18:00:00,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157.0,76.0,72.0,76.0,101.66666666666667,51.666666666666664,2.0,0.0
2011-01-03 19:00:00,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,157.0,157.0,76.0,65.0,130.0,55.041666666666664,2.0,0.0
2011-01-03 20:00:00,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,110.0,157.0,157.0,53.0,141.33333333333334,56.916666666666664,1.0,204.4788991065156
2011-01-03 21:00:00,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52.0,110.0,157.0,30.0,106.33333333333333,56.875,1.0,0.0
2011-01-03 22:00:00,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,52.0,52.0,110.0,22.0,71.33333333333333,57.791666666666664,0.0,42.3135660035788
2011-01-03 23:00:00,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,20.0,52.0,52.0,31.0,41.333333333333336,57.708333333333336,0.0,0.0
